Age,Gender,Education Level,Job Title,Years of Experience,Salary,Salary_lpa
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
25,Female,Master's,Data Analyst,1,100000,12
33,Male,PhD,Data Scientist,8,190000,22.8
31,Female,Bachelor's,Software Engineer,6,155000,18.6
28,Male,Master's,Product Manager,3,130000,15.6
30,Female,Bachelor's,Data Analyst,5,145000,17.4
27,Male,PhD,Data Scientist,2,115000,13.8
29,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Bachelor's,Product Manager,9,185000,22.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
27,Female,Bachelor's,Product Manager,4,150000,18
24,Male,Bachelor's,Data Analyst,1,90000,10.8
31,Female,Master's,Data Scientist,9,195000,23.4
28,Male,Bachelor's,Software Engineer,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
25,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
23,Male,Bachelor's,Data Analyst,1,95000,11.4
32,Female,PhD,Data Scientist,10,193000,23.16
29,Male,Bachelor's,Software Engineer,6,175000,21
30,Female,Bachelor's,Product Manager,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
31,Female,Master's,Data Scientist,6,180000,21.6
28,Male,Bachelor's,Software Engineer,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
25,Male,Bachelor's,Data Analyst,2,110000,13.2
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
27,Female,Bachelor's,Product Manager,4,150000,18
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
33,Male,Master's,Product Manager,11,198000,23.76
26,Female,Bachelor's,Data Analyst,3,130000,15.6
30,Male,PhD,Data Scientist,7,185000,22.2
27,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Master's,Product Manager,12,196000,23.52
25,Female,Bachelor's,Data Analyst,2,110000,13.2
32,Male,Bachelor's,Software Engineer,8,190000,22.8
29,Female,Master's,Data Scientist,6,180000,21.6
30,Male,Bachelor's,Data Analyst,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
31,Female,PhD,Data Scientist,9,195000,23.4
28,Male,Bachelor's,Software Engineer,5,160000,19.2
27,Female,Bachelor's,Product Manager,4,150000,18
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
25,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Male,Bachelor's,Data Analyst,2,125000,15
28,Female,Master's,Data Scientist,6,175000,21
30,Male,Bachelor's,Software Engineer,8,190000,22.8
27,Female,Bachelor's,Product Manager,4,150000,18
24,Male,Bachelor's,Data Analyst,1,95000,11.4
31,Male,Master's,Data Scientist,9,195000,23.4
28,Male,Bachelor's,Software Engineer,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
26,Male,Bachelor's,Data Analyst,3,130000,15.6
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
23,Male,Bachelor's,Data Analyst,1,90000,10.8
32,Female,PhD,Data Scientist,10,193000,23.16
29,Male,Bachelor's,Software Engineer,6,170000,20.4
30,Female,Bachelor's,Product Manager,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,135000,16.2
31,Female,Master's,Data Scientist,6,180000,21.6
28,Male,Bachelor's,Software Engineer,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
25,Male,Bachelor's,Data Analyst,2,115000,13.8
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
27,Female,Bachelor's,Product Manager,4,150000,18
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
33,Male,Master's,Product Manager,11,198000,23.76
26,Female,Bachelor's,Data Analyst,3,130000,15.6
30,Male,PhD,Data Scientist,7,185000,22.2
27,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Master's,Product Manager,12,196000,23.52
25,Female,Bachelor's,Data Analyst,2,110000,13.2
32,Male,Bachelor's,Software Engineer,8,190000,22.8
29,Female,Master's,Data Scientist,6,180000,21.6
30,Male,Bachelor's,Data Analyst,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
31,Female,PhD,Data Scientist,9,195000,23.4
28,Male,Bachelor's,Software Engineer,5,160000,19.2
27,Female,Bachelor's,Product Manager,4,150000,18
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
25,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
23,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Female,Master's,Data Scientist,4,150000,18
32,Male,Bachelor's,Software Engineer,8,190000,22.8
24,Female,Bachelor's,Product Manager,3,125000,15
25,Male,Bachelor's,Data Analyst,2,110000,13.2
31,Male,Master's,Data Scientist,7,180000,21.6
28,Male,Bachelor's,Software Engineer,5,160000,19.2
33,Female,Master's,Product Manager,10,195000,23.4
26,Male,Bachelor's,Data Analyst,3,130000,15.6
30,Female,PhD,Data Scientist,6,170000,20.4
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,11,196000,23.52
23,Male,Bachelor's,Data Analyst,1,92000,11.04
32,Female,PhD,Data Scientist,9,195000,23.4
29,Male,Bachelor's,Software Engineer,6,170000,20.4
30,Female,Bachelor's,Product Manager,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,135000,16.2
31,Female,Master's,Data Scientist,6,180000,21.6
28,Male,Bachelor's,Software Engineer,5,165000,19.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,95000,11.4
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
25,Male,Bachelor's,Data Analyst,2,115000,13.8
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
27,Female,Bachelor's,Product Manager,4,150000,18
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
33,Male,Master's,Product Manager,11,198000,23.76
26,Female,Bachelor's,Data Analyst,3,130000,15.6
30,Male,PhD,Data Scientist,7,185000,22.2
27,Female,Bachelor's,Software Engineer,4,140000,16.8
34,Male,Master's,Product Manager,12,196000,23.52
25,Female,Bachelor's,Data Analyst,2,110000,13.2
32,Male,Bachelor's,Software Engineer,8,190000,22.8
29,Female,Master's,Data Scientist,6,180000,21.6
30,Male,Bachelor's,Data Analyst,5,160000,19.2
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
31,Female,PhD,Data Scientist,9,195000,23.4
28,Male,Bachelor's,Software Engineer,5,160000,19.2
27,Female,Bachelor's,Product Manager,4,150000,18
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
25,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
25,Male,Bachelor's,Data Analyst,3,135000,16.2
32,Male,Bachelor's,Software Engineer,8,190000,22.8
29,Female,Master's,Data Scientist,6,180000,21.6
30,Male,Bachelor's,Data Analyst,5,160000,19.2
24,Male,Bachelor's,Data Analyst,1,95000,11.4
33,Female,Master's,Product Manager,11,196000,23.52
27,Male,Bachelor's,Software Engineer,4,140000,16.8
26,Male,Bachelor's,Data Analyst,3,130000,15.6
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Female,Bachelor's,Data Analyst,3,130000,15.6
30,Male,PhD,Data Scientist,7,185000,22.2
27,Female,Bachelor's,Product Manager,4,150000,18
24,Male,Bachelor's,Data Analyst,1,90000,10.8
33,Male,Master's,Product Manager,11,198000,23.76
25,Male,Bachelor's,Data Analyst,2,115000,13.8
28,Male,Bachelor's,Software Engineer,5,165000,19.8
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
27,Male,Bachelor's,Software Engineer,4,140000,16.8
31,Female,Master's,Data Scientist,6,180000,21.6
30,Male,Bachelor's,Data Analyst,5,160000,19.2
24,Male,Bachelor's,Data Analyst,1,92000,11.04
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
25,Male,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
27,Male,Bachelor's,Software Engineer,4,140000,16.8
34,Female,Master's,Product Manager,12,196000,23.52
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
29,Female,Master's,Data Scientist,6,180000,21.6
32,Male,Bachelor's,Software Engineer,8,190000,22.8
33,Female,Master's,Product Manager,11,198000,23.76
24,Male,Bachelor's,Data Analyst,1,90000,10.8
27,Male,Bachelor's,Software Engineer,4,140000,16.8
25,Female,Bachelor's,Data Analyst,2,110000,13.2
30,Female,PhD,Data Scientist,7,185000,22.2
31,Male,Bachelor's,Data Analyst,9,195000,23.4
28,Female,Bachelor's,Software Engineer,5,160000,19.2
26,Male,Bachelor's,Data Analyst,3,130000,15.6
